feature_5_0.0,feature_5_1.0,feature_5_2.0,feature_5_Other,feature_8_0,feature_8_1,feature_8_2,feature_8_Other,feature_13_3,feature_13_2,feature_13_1,feature_13_Other,feature_14_0,feature_14_1,feature_14_2,feature_14_Other,feature_16_1,feature_16_2,feature_16_0,feature_16_Other,feature_18,feature_19_1,feature_19_2,feature_19_3,feature_23_0,feature_23_1,feature_23_2,feature_23_Other,feature_24_0,feature_24_1,feature_24_2,feature_24_Other,feature_25_0,feature_25_1,feature_25_24,feature_25_Other,feature_26_0,feature_26_1,feature_26_2,feature_26_Other,feature_27_0,feature_27_1,feature_27_2,feature_27_Other,feature_28_0,feature_28_24,feature_28_1,feature_28_Other,feature_29_0,feature_29_1,feature_29_2,feature_29_Other,feature_30_1,feature_30_2,feature_31_0,feature_31_1,feature_31_2,feature_31_Other,feature_32_0,feature_32_1,feature_32_2,feature_32_Other,feature_35_0,feature_35_5,feature_35_3,feature_35_Other,feature_36_0,feature_36_2,feature_36_1,feature_36_Other,feature_37_0,feature_37_1,feature_37_2,feature_37_Other,feature_11,feature_22,feature_48,feature_2,feature_12,feature_15,feature_17,feature_6,feature_7,feature_9,feature_39,feature_42,feature_43,feature_44,feature_46,feature_0,feature_1,feature_3,feature_4,feature_10,feature_21,feature_33,feature_34,feature_40,feature_41,feature_47,target
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0583478524309913,0.5564558127971803,0.05507392302253653,-0.1640080137619046,-0.30842658191807143,0.0,0.0,0.5788428214417661,-5.199337582605575,-0.07381753392045,-0.3601622513097562,0.28878752668187363,0.141809928852523,-0.48665441567672063,-0.4980448584229526,-0.46114871339252445,-0.32857848275386525,-0.2471336338581233,-0.11668500440385923,1.494515723533382,-5.199337582605575,-5.199337582605575,0.21192485573274011,-0.36551428503029726,-0.4562888170043135,-0.27816518700212395,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2.939097355548953,1.4978552500040156,0.08736506198013475,0.15488968811077786,0.09171191948527647,1.1791814822195703,0.0,0.6991080877832274,1.349726938641997,0.321955761468725,-0.4499369303400936,-0.4641101480443383,0.2895030244937068,-0.2019125314222369,-1.2855962464046335,-1.280696658212577,-1.4349607957445008,-1.918441485013229,-0.6241447422049652,-0.2536062084064879,-5.199337582605575,-5.199337582605575,-0.046896758673279165,1.8466075140802436,0.5805185620666493,0.611820604671012,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.21473629806472752,-0.8421130028431572,-0.6828128631001914,0.0,-0.4142668635342554,-0.76524526049124,1.2701775925131393,-0.7513327030392748,0.6975071194373863,-1.3070633676592225,-1.4146976723207718,0.03692172193299182,-0.8892282006027845,0.9617191874352646,-0.31526388143274464,0.9915890914363198,-5.199337582605575,-1.6640817375143429,0.21751918086367616,-0.2536062084064879,0.7816836679525467,-5.199337582605575,-1.4079051458418632,-0.9144837744919794,0.3055799417579142,-0.8230389504820708,0
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.2929305208815956,0.9641874098406051,0.10806592303956125,0.2342191939146195,1.3081724777756807,2.6724451131928877,0.0,-0.6055305734452572,-5.199337582605575,-0.2647643173121751,-0.3215778448523632,-0.23570414771809084,-0.7841073981777549,0.83361164793436,0.31043395275293767,0.6160910618470349,0.7055043211939823,-1.1546146901626584,0.32283357220900133,-0.2536062084064879,1.3344415784464712,2.6477115729568377,-0.416793077029657,0.3713291610001318,0.4494258975931579,-0.07173028762752603,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,-0.7881605987217603,-0.12994875197662625,0.030760383583850175,0.8372812689286829,0.16891199278645552,-1.7385331812306835,1.0835491421926493,-0.4390012085038276,0.9835733673308722,0.2326382054994657,0.6484674273745155,2.065891273552767,1.851540803188298,-0.8005682669087036,1.0130296593753276,0.5911319147111482,0.2596435283879017,-0.01380069383179158,0.8373402712393132,-0.2536062084064879,-5.199337582605575,1.7500084116500356,0.2290721864210423,0.20128145067268638,0.21677483308437062,-0.10944121118045118,1
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-0.7099663759048922,0.6951417995388175,0.0920447473309157,1.2365892085087726,-0.5206614945725153,-1.747881608697671,-1.1554000971678469,-0.2382821860624924,-5.199337582605575,-0.4353122168025154,-0.2680324819582586,-0.124544725867042,-0.2966333747689487,0.25739583042070624,0.23858381815482008,0.4198449153787145,-0.41431292878985837,-1.0422467418324088,-0.8351467142116091,-0.2536062084064879,1.7452544646109582,-5.199337582605575,-0.23604318154424409,-0.13689739720938077,0.37136545542523,-0.5867432958068097,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.2668657799426396,-0.20566661715827056,0.07831601842706473,1.2157598105284708,-0.5496162910697036,1.8448108052715728,-0.38978343113916397,-0.04517983902747526,-5.199337582605575,0.13971029888186212,0.1296999091491466,-0.41175003451838976,-0.5151594632763239,0.12434565796130459,-0.564315245616453,0.7800135004251336,0.09937855898924641,-0.18547963396527664,0.2965706599699259,-0.2536062084064879,1.5673744729290127,-5.199337582605575,-0.39956882382924086,0.1930571819649289,0.588222094258322,0.11511725036932717,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.045911111324832846,0.31811366672712466,0.03183088210000564,0.48367497089336,-0.19186513551889775,1.0066356612154845,-1.226215520918307,-0.34149265585889366,0.9377583565430332,0.6428383945670321,0.9776649408076991,-2.0563621301169217,-1.1767336167572844,-1.8709948378146306,-0.9396806159088359,1.116190563416783,1.0133329934241138,0.8126540791496972,0.319815333086486,-1.8730970867090382,-5.199337582605575,-5.199337582605575,0.25478225501518836,0.47265972552761504,0.58748138998917,0.5322300624412527,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.6454001529208216,-0.6693409668273089,0.014801076413897224,0.7722275029987714,-0.02509400752630838,1.3583176265120107,-0.4063791303727798,2.070909832566188,1.6958666155668063,1.6009717169791575,1.2124163808509085,-1.2568275768403243,1.6541447865382133,-1.292464893096994,-1.5778942194296237,0.3955588707193844,0.07408573503519163,-0.8625437144150381,0.1828253974086239,0.9261763243026125,-5.199337582605575,-5.199337582605575,1.7515717927819188,1.4610394864045566,1.712135285573558,1.6067947039291701,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1.0624360079441182,-0.8983159543181921,0.019871287242087633,0.3962526658834622,0.46121460457058916,0.5969492401779376,-5.199337582605575,-0.3548222977134122,-5.199337582605575,0.8374192193779095,0.8059473370900386,-1.4699411268126579,-0.0992739483228029,-0.8268961207927557,-0.6711848666330066,1.3238531636009243,1.298882286332427,0.18547963396527664,1.3143207557351748,-0.2536062084064879,0.8502395572343167,-5.199337582605575,1.1064274155009706,0.9200056463806581,-0.11062503463042937,0.6179322431936991,1
