feature_5_0.0,feature_5_1.0,feature_5_2.0,feature_5_Other,feature_8_0,feature_8_1,feature_8_2,feature_8_Other,feature_13_3,feature_13_2,feature_13_1,feature_13_Other,feature_14_0,feature_14_1,feature_14_2,feature_14_Other,feature_16_1,feature_16_2,feature_16_0,feature_16_Other,feature_18,feature_19_1,feature_19_2,feature_19_3,feature_23_0,feature_23_1,feature_23_2,feature_23_Other,feature_24_0,feature_24_1,feature_24_2,feature_24_Other,feature_25_0,feature_25_1,feature_25_24,feature_25_Other,feature_26_0,feature_26_1,feature_26_2,feature_26_Other,feature_27_0,feature_27_1,feature_27_2,feature_27_Other,feature_28_0,feature_28_24,feature_28_1,feature_28_Other,feature_29_0,feature_29_1,feature_29_2,feature_29_Other,feature_30_1,feature_30_2,feature_31_0,feature_31_1,feature_31_2,feature_31_Other,feature_32_0,feature_32_1,feature_32_2,feature_32_Other,feature_35_0,feature_35_5,feature_35_3,feature_35_Other,feature_36_0,feature_36_2,feature_36_1,feature_36_Other,feature_37_0,feature_37_1,feature_37_2,feature_37_Other,feature_11,feature_22,feature_48,feature_2,feature_12,feature_15,feature_17,feature_6,feature_7,feature_9,feature_39,feature_42,feature_43,feature_44,feature_46,feature_0,feature_1,feature_3,feature_4,feature_10,feature_21,feature_33,feature_34,feature_40,feature_41,feature_47,target
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0583478524309913,0.5564558127971803,0.05507392302253653,0.3806864274127778,45.0,0.9101268004972825,0.9073333333333332,1728.97,0.0,357.60593406593404,274.77476712328763,36.28666666666792,889.9700000000003,-1486.1799999999976,-4.208845207227231,1340.0,3519.957380952381,19,1034.88,692.6,0,0,683.4314285714287,442.6034375,61.91387665198236,518.8354657495481,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2.939097355548953,1.4978552500040156,0.08736506198013475,0.4144245908365519,85.0,0.9826124567474048,0.9073333333333332,2100.0,11024.85,578.6424175824176,238.55847517730496,-166.566666666666,1051.0700000000015,-1048.7499999999995,-22.57499353829691,848.9319999999999,2048.459523809524,1,-20.0,0.0,0,0,500.6016666666667,1848.9211111111117,105.8024074074074,1063.648329620454,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.21473629806472752,-0.8421130028431572,-0.6828128631001914,0.3963361806541128,36.0,0.8246566477313583,1.07,23.5,3500.0,0.0,0.0,-5.530000000000655,95.56999999999788,-166.20000000000073,-2.662857225171833,3221.932,0.0,3,1940.0,0.0,684,0,0.0,329.181746031746,91.03087719298244,349.63641256100146,0
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.2929305208815956,0.9641874098406051,0.10806592303956125,0.4269860616128113,575.0,1.0959698463322702,0.9073333333333332,76.0,0.0,276.3664835164835,287.5689589041096,-77.43333333333203,145.40000000000327,-238.73,0.771516071943037,2588.1494444444443,6061.437777777777,7,2260.0,0.0,4450,26460,302.7,700.76,98.42150943396224,598.2361890025312,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,-0.7881605987217603,-0.12994875197662625,0.030760383583850175,0.5471424968852362,97.0,0.3390989541432019,1.0267142857142857,140.0,6000.0,508.5740659340659,872.7824657534246,1511.4599999999975,6453.149999999996,-2111.5300000000007,6.553921554101331,2553.985357142857,4667.861428571428,23,4160.0,0.0,0,5021,699.4244444444444,630.4215686274509,86.57404388714735,583.2872307144712,1
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-0.7099663759048922,0.6951417995388175,0.0920447473309157,0.6758539557446586,29.0,0.3346758894434229,0.3415625,270.0,0.0,217.842967032967,305.34057534246574,-41.85666666666748,476.7799999999989,-601.9800000000009,0.3954583693460101,2282.328958333333,3376.955833333333,8,-626.03,0.0,9325,0,396.6033333333333,511.5744,94.26956204379562,408.70244222135847,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.2668657799426396,-0.20566661715827056,0.07831601842706473,0.667045051850194,28.0,1.0,0.8433333333333334,450.0,0.0,458.2353846153846,487.25172413793103,-138.87666666666885,301.13999999999214,-716.1099999999988,-4.8429957607935314,2861.143,4289.28,20,2180.1,0.0,6824,0,305.7575,627.1270909090908,106.10522796352586,698.5528592842364,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.045911111324832846,0.31811366672712466,0.03183088210000564,0.4697469273209352,57.0,0.973825372442884,0.2792857142857143,203.5,5530.22,815.5231868131868,1279.653224043716,-2735.8166666666675,11.86999999999898,-7557.250000000007,-10.98075243857266,3483.2209999999995,7415.101190476191,48,2245.22,-15.590000000000003,0,0,720.725,733.4298076923077,106.05446224256292,998.1694597565204,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.6454001529208216,-0.6693409668273089,0.014801076413897224,0.5300486395095018,72.0,0.9908632951402608,0.8371,14637.77,18091.01,2502.729010989011,1620.7487671232875,-817.4966666666696,5183.109999999999,-3823.9000000000087,-39.224565501913816,2245.0,4235.460357142857,10,1835.0,43.01,0,0,3834.56,1397.4258620689654,258.9026506024097,2941.755444894441,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1.0624360079441182,-0.8983159543181921,0.019871287242087633,0.4529602472148656,151.0,0.9321708403748656,0.0,200.0,0.0,1030.0438461538463,1059.651698630137,-1182.4433333333352,636.5999999999995,-2186.1600000000017,-6.373646129151747,3994.9054404761914,8819.549761904762,27,6520.0,0.0,917,0,1791.8325,994.093076923077,72.93734491315138,1067.9780611865256,1
