iter	Passed	Remaining
0	22	17001
1	41	15672
2	63	15795
3	82	15454
4	102	15314
5	123	15266
6	146	15506
7	166	15447
8	185	15297
9	204	15103
10	223	15029
11	243	14947
12	261	14834
13	279	14712
14	300	14735
15	319	14671
16	339	14624
17	357	14538
18	376	14469
19	393	14375
20	413	14367
21	431	14281
22	450	14242
23	468	14181
24	487	14138
25	506	14090
26	524	14035
27	542	14000
28	564	14028
29	582	13972
30	600	13920
31	618	13880
32	637	13852
33	656	13815
34	674	13782
35	693	13746
36	711	13712
37	730	13682
38	749	13669
39	770	13671
40	790	13670
41	809	13637
42	827	13607
43	847	13605
44	868	13612
45	888	13593
46	908	13584
47	927	13570
48	947	13555
49	971	13600
50	990	13582
51	1011	13582
52	1030	13556
53	1050	13536
54	1070	13527
55	1088	13490
56	1107	13460
57	1126	13440
58	1144	13407
59	1163	13384
60	1186	13404
61	1205	13379
62	1225	13359
63	1243	13332
64	1262	13303
65	1280	13271
66	1299	13246
67	1317	13213
68	1336	13190
69	1355	13163
70	1374	13148
71	1394	13135
72	1413	13110
73	1431	13078
74	1451	13060
75	1470	13040
76	1488	13008
77	1507	12991
78	1527	12974
79	1545	12945
80	1562	12908
81	1580	12879
82	1600	12862
83	1619	12837
84	1637	12811
85	1656	12786
86	1673	12756
87	1692	12731
88	1711	12711
89	1729	12684
90	1749	12669
91	1767	12642
92	1786	12619
93	1804	12595
94	1822	12566
95	1840	12539
96	1860	12521
97	1879	12505
98	1897	12480
99	1915	12453
100	1936	12445
101	1955	12420
102	1973	12394
103	1991	12367
104	2008	12340
105	2027	12319
106	2046	12298
107	2065	12275
108	2082	12248
109	2101	12225
110	2119	12200
111	2138	12183
112	2156	12155
113	2176	12143
114	2196	12127
115	2214	12105
116	2233	12085
117	2252	12062
118	2271	12045
119	2289	12019
120	2307	11996
121	2326	11975
122	2345	11957
123	2364	11936
124	2382	11914
125	2400	11888
126	2418	11863
127	2436	11839
128	2454	11815
129	2474	11803
130	2493	11780
131	2511	11759
132	2530	11739
133	2550	11724
134	2568	11699
135	2586	11678
136	2606	11662
137	2624	11641
138	2643	11620
139	2661	11596
140	2679	11571
141	2697	11549
142	2715	11528
143	2735	11511
144	2754	11492
145	2773	11472
146	2792	11452
147	2809	11428
148	2827	11405
149	2845	11382
150	2865	11366
151	2883	11344
152	2901	11322
153	2923	11312
154	2941	11290
155	2958	11264
156	2977	11245
157	2995	11222
158	3013	11202
159	3031	11180
160	3052	11167
161	3072	11152
162	3091	11131
163	3109	11111
164	3127	11090
165	3147	11072
166	3165	11050
167	3184	11032
168	3203	11012
169	3222	10992
170	3240	10972
171	3259	10953
172	3277	10932
173	3295	10910
174	3314	10891
175	3335	10879
176	3355	10862
177	3374	10842
178	3392	10822
179	3410	10801
180	3429	10781
181	3446	10757
182	3463	10732
183	3482	10712
184	3502	10697
185	3521	10676
186	3539	10656
187	3557	10634
188	3575	10611
189	3592	10589
190	3613	10574
191	3632	10556
192	3650	10534
193	3668	10513
194	3687	10495
195	3706	10477
196	3724	10454
197	3742	10433
198	3762	10416
199	3781	10398
200	3800	10381
201	3819	10361
202	3838	10343
203	3855	10319
204	3872	10295
205	3892	10279
206	3911	10260
207	3930	10241
208	3948	10220
209	3966	10200
210	3985	10180
211	4001	10155
212	4019	10134
213	4038	10116
214	4058	10099
215	4077	10080
216	4096	10060
217	4115	10042
218	4134	10023
219	4151	10002
220	4169	9980
221	4189	9964
222	4207	9943
223	4226	9923
224	4244	9903
225	4262	9882
226	4281	9863
227	4299	9843
228	4317	9823
229	4337	9807
230	4356	9787
231	4375	9768
232	4394	9750
233	4412	9730
234	4429	9708
235	4448	9689
236	4468	9672
237	4487	9654
238	4506	9635
239	4526	9618
240	4542	9594
241	4562	9576
242	4580	9556
243	4600	9540
244	4617	9518
245	4635	9497
246	4654	9478
247	4671	9455
248	4689	9435
249	4708	9416
250	4725	9395
251	4744	9376
252	4762	9355
253	4780	9334
254	4798	9314
255	4816	9294
256	4833	9272
257	4852	9253
258	4871	9235
259	4891	9217
260	4909	9199
261	4927	9178
262	4946	9160
263	4965	9140
264	4983	9120
265	5001	9099
266	5019	9079
267	5036	9058
268	5053	9036
269	5072	9017
270	5090	8997
271	5108	8978
272	5126	8957
273	5145	8938
274	5163	8919
275	5183	8902
276	5201	8882
277	5219	8861
278	5236	8840
279	5254	8820
280	5273	8802
281	5292	8782
282	5310	8763
283	5328	8743
284	5346	8723
285	5363	8702
286	5383	8685
287	5402	8665
288	5420	8646
289	5439	8628
290	5458	8609
291	5477	8591
292	5496	8572
293	5514	8552
294	5531	8532
295	5549	8512
296	5568	8493
297	5587	8475
298	5606	8457
299	5624	8436
300	5641	8416
301	5659	8395
302	5677	8375
303	5693	8352
304	5711	8333
305	5731	8316
306	5749	8295
307	5766	8275
308	5783	8253
309	5802	8235
310	5819	8215
311	5839	8197
312	5858	8178
313	5876	8159
314	5897	8143
315	5914	8123
316	5932	8102
317	5949	8082
318	5968	8063
319	5985	8042
320	6002	8021
321	6020	8002
322	6038	7983
323	6056	7963
324	6076	7945
325	6092	7924
326	6111	7906
327	6131	7888
328	6149	7868
329	6167	7849
330	6184	7828
331	6204	7811
332	6222	7792
333	6240	7772
334	6258	7752
335	6276	7733
336	6292	7712
337	6310	7691
338	6329	7673
339	6350	7657
340	6368	7638
341	6384	7616
342	6402	7596
343	6419	7576
344	6438	7557
345	6456	7538
346	6475	7520
347	6494	7502
348	6512	7483
349	6531	7464
350	6548	7444
351	6566	7424
352	6583	7403
353	6601	7384
354	6619	7364
355	6637	7346
356	6655	7326
357	6673	7307
358	6691	7288
359	6710	7269
360	6729	7251
361	6747	7231
362	6765	7212
363	6784	7194
364	6801	7174
365	6821	7156
366	6840	7138
367	6858	7119
368	6877	7100
369	6894	7080
370	6914	7064
371	6933	7044
372	6952	7026
373	6970	7007
374	6988	6988
375	7012	6974
376	7029	6954
377	7050	6939
378	7069	6920
379	7088	6901
380	7106	6882
381	7124	6863
382	7143	6844
383	7162	6826
384	7179	6806
385	7200	6790
386	7219	6771
387	7238	6753
388	7260	6737
389	7278	6718
390	7298	6700
391	7316	6682
392	7337	6664
393	7356	6646
394	7375	6628
395	7393	6609
396	7412	6590
397	7430	6571
398	7449	6553
399	7470	6536
400	7490	6519
401	7508	6499
402	7527	6481
403	7545	6462
404	7564	6443
405	7583	6425
406	7601	6406
407	7620	6387
408	7638	6368
409	7656	6349
410	7674	6330
411	7693	6311
412	7711	6292
413	7729	6273
414	7749	6255
415	7767	6236
416	7785	6217
417	7804	6199
418	7823	6180
419	7841	6161
420	7860	6142
421	7878	6123
422	7896	6104
423	7915	6086
424	7933	6067
425	7953	6048
426	7970	6029
427	7989	6010
428	8007	5991
429	8026	5973
430	8043	5953
431	8063	5935
432	8081	5916
433	8100	5897
434	8119	5879
435	8137	5860
436	8155	5841
437	8174	5822
438	8192	5803
439	8212	5786
440	8231	5767
441	8249	5748
442	8267	5729
443	8285	5710
444	8304	5692
445	8323	5673
446	8347	5658
447	8366	5639
448	8384	5620
449	8402	5601
450	8421	5582
451	8439	5564
452	8457	5544
453	8476	5526
454	8495	5507
455	8512	5488
456	8531	5469
457	8549	5450
458	8568	5432
459	8587	5413
460	8604	5394
461	8623	5375
462	8632	5350
463	8651	5332
464	8669	5313
465	8687	5294
466	8705	5275
467	8724	5256
468	8741	5237
469	8760	5219
470	8780	5201
471	8798	5182
472	8816	5163
473	8834	5144
474	8852	5125
475	8870	5105
476	8888	5087
477	8908	5069
478	8926	5050
479	8944	5031
480	8961	5011
481	8977	4991
482	8996	4973
483	9013	4953
484	9033	4935
485	9051	4917
486	9071	4898
487	9088	4879
488	9108	4861
489	9126	4842
490	9146	4824
491	9163	4805
492	9181	4786
493	9199	4767
494	9219	4749
495	9238	4730
496	9256	4712
497	9273	4692
498	9289	4672
499	9306	4653
500	9323	4633
501	9342	4615
502	9361	4597
503	9379	4577
504	9396	4558
505	9414	4539
506	9433	4521
507	9451	4502
508	9467	4482
509	9485	4463
510	9505	4445
511	9522	4426
512	9540	4407
513	9557	4388
514	9575	4369
515	9593	4350
516	9612	4331
517	9631	4313
518	9648	4294
519	9673	4278
520	9692	4260
521	9709	4240
522	9727	4221
523	9746	4203
524	9764	4184
525	9783	4166
526	9801	4147
527	9820	4129
528	9839	4110
529	9856	4091
530	9873	4072
531	9891	4053
532	9909	4034
533	9929	4016
534	9945	3996
535	9963	3978
536	9982	3959
537	10001	3941
538	10020	3922
539	10036	3903
540	10055	3884
541	10074	3866
542	10092	3847
543	10110	3828
544	10128	3809
545	10146	3791
546	10164	3772
547	10182	3753
548	10203	3735
549	10220	3716
550	10237	3697
551	10255	3678
552	10273	3659
553	10291	3641
554	10310	3622
555	10327	3603
556	10346	3585
557	10365	3566
558	10384	3548
559	10404	3529
560	10421	3511
561	10439	3492
562	10458	3473
563	10478	3455
564	10496	3437
565	10514	3418
566	10531	3399
567	10549	3380
568	10568	3361
569	10586	3342
570	10604	3324
571	10622	3305
572	10640	3286
573	10657	3267
574	10675	3248
575	10694	3230
576	10712	3211
577	10729	3192
578	10748	3174
579	10768	3156
580	10787	3137
581	10805	3119
582	10822	3099
583	10838	3080
584	10855	3061
585	10872	3042
586	10890	3024
587	10910	3005
588	10926	2986
589	10943	2967
590	10961	2948
591	10980	2930
592	10997	2911
593	11016	2893
594	11034	2874
595	11052	2855
596	11069	2837
597	11086	2817
598	11104	2799
599	11123	2780
600	11141	2762
601	11160	2743
602	11180	2725
603	11199	2707
604	11215	2688
605	11232	2669
606	11250	2650
607	11267	2631
608	11285	2612
609	11304	2594
610	11322	2575
611	11341	2557
612	11359	2538
613	11378	2520
614	11395	2501
615	11415	2483
616	11433	2464
617	11451	2445
618	11471	2427
619	11490	2409
620	11510	2391
621	11529	2372
622	11546	2353
623	11564	2335
624	11583	2316
625	11601	2298
626	11621	2279
627	11638	2261
628	11656	2242
629	11673	2223
630	11690	2204
631	11708	2186
632	11728	2167
633	11747	2149
634	11765	2130
635	11782	2112
636	11799	2093
637	11818	2074
638	11835	2055
639	11852	2037
640	11869	2018
641	11886	1999
642	11908	1981
643	11927	1963
644	11946	1944
645	11965	1926
646	11984	1907
647	12003	1889
648	12022	1870
649	12043	1852
650	12062	1834
651	12081	1815
652	12099	1797
653	12118	1778
654	12136	1760
655	12156	1741
656	12175	1723
657	12195	1705
658	12212	1686
659	12230	1667
660	12250	1649
661	12268	1630
662	12287	1612
663	12306	1593
664	12326	1575
665	12345	1557
666	12365	1538
667	12383	1520
668	12401	1501
669	12419	1482
670	12437	1464
671	12458	1446
672	12476	1427
673	12493	1408
674	12511	1390
675	12528	1371
676	12547	1352
677	12565	1334
678	12584	1315
679	12600	1297
680	12620	1278
681	12636	1259
682	12654	1241
683	12671	1222
684	12690	1204
685	12707	1185
