iter	Passed	Remaining
0	8	2110
1	16	1992
2	22	1869
3	28	1773
4	34	1704
5	40	1648
6	45	1575
7	50	1526
8	56	1501
9	61	1470
10	65	1432
11	71	1408
12	76	1391
13	81	1381
14	88	1385
15	94	1381
16	100	1371
17	106	1368
18	112	1370
19	118	1357
20	123	1342
21	129	1347
22	135	1336
23	140	1327
24	146	1315
25	151	1308
26	156	1296
27	162	1284
28	167	1273
29	172	1263
30	177	1253
31	183	1248
32	188	1237
33	192	1225
34	198	1221
35	204	1216
36	209	1208
37	214	1198
38	245	1325
39	249	1310
40	254	1299
41	260	1289
42	265	1278
43	270	1265
44	276	1258
45	281	1247
46	287	1240
47	292	1228
48	296	1217
49	301	1205
50	306	1195
51	310	1184
52	315	1172
53	321	1166
54	326	1158
55	332	1151
56	338	1146
57	344	1141
58	352	1142
59	360	1142
60	369	1144
61	378	1149
62	386	1147
63	395	1150
64	403	1149
65	413	1151
66	425	1163
67	435	1165
68	450	1180
69	464	1194
70	472	1191
71	479	1186
72	489	1186
73	497	1184
74	509	1188
75	515	1179
76	525	1181
77	531	1171
78	539	1167
79	547	1163
80	557	1163
81	563	1153
82	574	1156
83	582	1150
84	590	1145
85	597	1138
86	606	1136
87	614	1130
88	624	1129
89	631	1123
90	638	1115
91	649	1114
92	656	1108
93	662	1099
94	669	1093
95	675	1083
96	684	1078
97	690	1071
98	701	1070
99	707	1061
100	718	1059
101	728	1057
102	737	1052
103	747	1049
104	753	1040
105	765	1039
106	770	1030
107	779	1025
108	786	1017
109	794	1011
110	800	1002
111	807	994
112	814	987
113	819	977
114	825	969
115	830	959
116	836	950
117	842	942
118	847	933
119	853	924
120	859	916
121	865	907
122	871	899
123	878	893
124	884	884
125	891	877
126	897	869
127	904	862
128	911	854
129	918	847
130	925	840
131	930	831
132	941	828
133	947	820
134	956	814
135	962	806
136	971	801
137	977	793
138	985	786
139	990	778
140	995	769
141	1005	764
142	1011	756
143	1018	749
144	1023	741
145	1029	733
146	1034	725
147	1042	718
148	1047	710
149	1052	701
150	1058	693
151	1064	686
152	1069	678
153	1075	670
154	1081	662
155	1086	654
156	1091	646
157	1096	638
158	1102	630
159	1107	622
160	1116	617
161	1121	609
162	1128	602
163	1133	594
164	1139	586
165	1144	579
166	1149	571
167	1155	563
168	1160	556
169	1166	549
170	1172	541
171	1177	534
172	1185	527
173	1192	521
174	1198	513
175	1203	506
176	1209	498
177	1215	491
178	1223	485
179	1228	477
180	1234	470
181	1241	463
182	1247	456
183	1254	450
184	1260	442
185	1268	436
186	1275	429
187	1281	422
188	1291	416
189	1297	409
190	1305	403
191	1310	395
192	1315	388
193	1320	381
194	1325	373
195	1330	366
196	1337	359
197	1343	352
198	1349	345
199	1354	338
200	1359	331
201	1365	324
202	1370	317
203	1375	310
204	1382	303
205	1387	296
206	1392	289
207	1397	282
208	1402	275
209	1407	268
210	1411	260
211	1416	253
212	1421	246
213	1426	240
214	1431	233
215	1436	226
216	1442	219
217	1448	212
218	1453	205
219	1457	198
220	1463	191
221	1468	185
222	1474	178
223	1480	171
224	1485	165
225	1490	158
226	1495	151
227	1500	144
228	1506	138
229	1511	131
230	1517	124
231	1523	118
232	1530	111
233	1535	104
234	1547	98
235	1554	92
236	1562	85
237	1567	79
238	1575	72
239	1581	65
240	1591	59
241	1598	52
242	1611	46
243	1616	39
244	1624	33
245	1632	26
246	1639	19
247	1646	13
248	1652	6
249	1659	0
